Model,Training MSE,Training R^2,Test MSE,Test R^2
Linear Regression,1216803718.3684738,0.7953486216775962,1441441549.700708,0.8202141649638376
Ridge Regression,1216804163.1211984,0.7953485468756732,1441444275.2463033,0.8202138250163101
Random Forest,121079468.96872883,0.9796359266191103,1018289709.7609797,0.8729923764053273
XGBoost,373442606.6232211,0.9371915593155591,808915168.324281,0.899106912076459
